persona,n_train_clients,config,cv_macro_f1_mean,cv_macro_f1_std,delta_vs_global,shrinkage_weight,shrunk_delta_vs_global,folds_beating_global,is_raw_best,selected_after_guardrails,used_global_fallback
Subscription regulars,586,mean_median_blend|grace=7|short_gate=false,0.41677784969138665,0.03679230952657147,-0.04378169354395922,0.6613995485327314,-0.02895719234397303,1,False,False,True
Subscription regulars,586,mean_median_blend|grace=3|short_gate=false,0.4161211221606932,0.03718286179161598,-0.04443842107465268,0.6613995485327314,-0.0293915516362827,1,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=10|short_gate=false,0.4147320712138187,0.021769641985823186,-0.04582747202152715,0.6613995485327314,-0.030310269305434435,0,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=3|short_gate=false,0.4145327616722473,0.02629522326385054,-0.046026781563098584,0.6613995485327314,-0.03044209254624805,0,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=7|short_gate=false,0.4136638704327031,0.026452817989795166,-0.046895672802642785,0.6613995485327314,-0.031016776819806628,0,False,False,True
Subscription regulars,586,mean_gap|grace=5|short_gate=false,0.41084185788043326,0.022910224049860144,-0.04971768535491261,0.6613995485327314,-0.032883254647831595,0,False,False,True
Subscription regulars,586,mean_median_blend|grace=0|short_gate=false,0.40968961158956374,0.03874715138248147,-0.05086993164578213,0.6613995485327314,-0.033645349824411204,1,False,False,True
Subscription regulars,586,mean_gap|grace=10|short_gate=false,0.4088966080584254,0.020838366864130032,-0.051662935176920444,0.6613995485327314,-0.03416984200189095,0,False,False,True
Subscription regulars,586,trimmed_mean_gap|grace=0|short_gate=false,0.4083411505875958,0.029246424158070477,-0.05221839264775008,0.6613995485327314,-0.034537221322326804,0,False,False,True
Subscription regulars,586,mean_gap|grace=7|short_gate=false,0.40772625683227826,0.025474049696724302,-0.052833286403067614,0.6613995485327314,-0.03494391177448942,0,False,False,True
Subscription regulars,586,mean_gap|grace=3|short_gate=false,0.4065076904738206,0.021755781310385504,-0.05405185276152524,0.6613995485327314,-0.03574987101383047,0,False,False,True
Subscription regulars,586,calendar_dom|grace=5|short_gate=false,0.4057878605654482,0.024989654929519576,-0.05477168266989768,0.6613995485327314,-0.03622596619024836,0,False,False,True
Subscription regulars,586,calendar_dom|grace=0|short_gate=false,0.40515271501887906,0.025298208527693277,-0.05540682821646681,0.6613995485327314,-0.03664605116800175,0,False,False,True
